task_family,difficulty_bucket,answer_magnitude_bucket,reasoning_length_bucket,candidate_count,profile_covered,profile_weight,unique_nonrandom_weight_count_within_stratum,has_instance_level_signal_within_stratum,within_stratum_order_source
multiplicative_relation,easy,medium,short,17,True,1.0,1,False,id_seed_hash_only
multiplicative_relation,easy,small,short,25,True,1.0,1,False,id_seed_hash_only
multiplicative_relation,hard,large,long,36,True,5.0,1,False,id_seed_hash_only
multiplicative_relation,hard,medium,long,4,True,5.0,1,False,id_seed_hash_only
multiplicative_relation,hard,small,long,1,False,1.0,1,False,id_seed_hash_only
multiplicative_relation,medium,large,medium,13,True,4.0,1,False,id_seed_hash_only
multiplicative_relation,medium,medium,medium,28,True,3.0,1,False,id_seed_hash_only
multiplicative_relation,medium,small,medium,1,True,5.0,1,False,id_seed_hash_only
ratio_change,easy,medium,short,18,True,5.0,1,False,id_seed_hash_only
ratio_change,easy,small,short,24,True,4.2,1,False,id_seed_hash_only
ratio_change,hard,medium,long,15,True,5.0,1,False,id_seed_hash_only
ratio_change,hard,small,long,26,True,2.6,1,False,id_seed_hash_only
ratio_change,medium,medium,medium,17,True,3.666667,1,False,id_seed_hash_only
ratio_change,medium,small,medium,25,True,4.2,1,False,id_seed_hash_only
temporal_numeric_constraint,easy,medium,long,23,True,3.4,1,False,id_seed_hash_only
temporal_numeric_constraint,easy,small,long,19,True,5.0,1,False,id_seed_hash_only
temporal_numeric_constraint,hard,medium,long,21,True,5.0,1,False,id_seed_hash_only
temporal_numeric_constraint,hard,small,long,20,True,5.0,1,False,id_seed_hash_only
temporal_numeric_constraint,medium,medium,long,22,True,3.666667,1,False,id_seed_hash_only
temporal_numeric_constraint,medium,small,long,20,True,5.0,1,False,id_seed_hash_only
weighted_aggregation,easy,medium,long,3,False,1.0,1,False,id_seed_hash_only
weighted_aggregation,easy,small,long,39,True,5.0,1,False,id_seed_hash_only
weighted_aggregation,hard,medium,long,2,False,1.0,1,False,id_seed_hash_only
weighted_aggregation,hard,small,long,39,True,5.0,1,False,id_seed_hash_only
weighted_aggregation,medium,medium,long,3,False,1.0,1,False,id_seed_hash_only
weighted_aggregation,medium,small,long,39,True,5.0,1,False,id_seed_hash_only
