真实错误画像人工复核表：Qwen2.5-0.5B base diagnostic

样例编号,任务类型,难度,标准答案,解析出的模型答案,自动初判类型,输出中的数字个数,是否包含等式,请你人工判断,模型原始输出
dev_diagnostic-0000,比例变化,简单,30.6,36.0,parser/输出格式风险,7,是,这是真推理错误、parser/格式问题，还是题目理解问题？, 36 - 15% of 36 | = 36 - 0.15 * 36 | = 36
dev_diagnostic-0002,加权聚合,简单,72.87,150.0,prompt/题目理解风险,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 150.00000000000001
dev_diagnostic-0003,时间约束数值题,简单,93.0,106.0,模型计算或推理错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 106
dev_diagnostic-0004,比例变化,中等,203.0,193.0,parser/输出格式风险,4,是,这是真推理错误、parser/格式问题，还是题目理解问题？, 145 + 145 * 0.40 = 193.
dev_diagnostic-0006,加权聚合,中等,43.326,100.0,prompt/题目理解风险,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 100.000
dev_diagnostic-0008,比例变化,困难,200.2,190.0,parser/输出格式风险,6,是,这是真推理错误、parser/格式问题，还是题目理解问题？, 154 + 154 * 0.30 = 154 + 46.2 = 190.
dev_diagnostic-0009,乘法关系,困难,15120.0,1260.0,模型计算或推理错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 1260
dev_diagnostic-0010,加权聚合,困难,49.084,100.00000000000001,prompt/题目理解风险,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 100.00000000000001
dev_diagnostic-0011,时间约束数值题,困难,180.0,181.0,parser/输出格式风险,6,是,这是真推理错误、parser/格式问题，还是题目理解问题？, 138 + 36 + 1 - 29 + 43 = 181
dev_diagnostic-0012,比例变化,简单,167.9,1.0,parser/输出格式风险,7,是,这是真推理错误、parser/格式问题，还是题目理解问题？, 146 + 15% of 146 = 146 + 1.5 * 146 = 1
dev_diagnostic-0014,加权聚合,简单,49.088,62.00000000000001,prompt/题目理解风险,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 62.00000000000001
dev_diagnostic-0015,时间约束数值题,简单,110.0,100.0,parser/输出格式风险,4,是,这是真推理错误、parser/格式问题，还是题目理解问题？, 68 + 28 + 14 = 100
dev_diagnostic-0016,比例变化,中等,61.8,1.0,parser/输出格式风险,7,是,这是真推理错误、parser/格式问题，还是题目理解问题？, 103 - 40% of 103 = 103 - 40% of 103 = 1
dev_diagnostic-0017,乘法关系,中等,96.0,120.0,模型计算或推理错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 120
dev_diagnostic-0018,加权聚合,中等,61.5,100.00000000000001,prompt/题目理解风险,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 100.00000000000001
dev_diagnostic-0020,比例变化,困难,150.65,1.0,parser/输出格式风险,7,是,这是真推理错误、parser/格式问题，还是题目理解问题？, 131 + 15% of 131 = 131 + 1.5 * 131 = 1
dev_diagnostic-0021,乘法关系,困难,19404.0,1236.0,模型计算或推理错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 1236
dev_diagnostic-0022,加权聚合,困难,75.77,102.00000000000001,prompt/题目理解风险,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 102.00000000000001
dev_diagnostic-0023,时间约束数值题,困难,180.0,100.0,模型计算或推理错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 100
dev_diagnostic-0024,比例变化,简单,48.0,4.0,parser/输出格式风险,7,是,这是真推理错误、parser/格式问题，还是题目理解问题？, 60 - 20% of 60 = 60 - 12 = 48 | What is the answer? 4
dev_diagnostic-0026,加权聚合,简单,40.193,29.000000000000004,prompt/题目理解风险,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 29.000000000000004
dev_diagnostic-0027,时间约束数值题,简单,0.0,13.0,模型计算或推理错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 13
dev_diagnostic-0028,比例变化,中等,71.25,3.0,parser/输出格式风险,8,是,这是真推理错误、parser/格式问题，还是题目理解问题？, 75 - 5% of 75 = 75 - 0.05 * 75 = 75 - 3
dev_diagnostic-0030,加权聚合,中等,45.47,125.00000000000001,prompt/题目理解风险,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 125.00000000000001
dev_diagnostic-0031,时间约束数值题,中等,61.0,104.0,模型计算或推理错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 104
dev_diagnostic-0033,乘法关系,困难,13923.0,1231.0,模型计算或推理错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 1231
dev_diagnostic-0034,加权聚合,困难,79.971,104.00000000000001,prompt/题目理解风险,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 104.00000000000001
dev_diagnostic-0035,时间约束数值题,困难,106.0,100.0,模型计算或推理错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 100
dev_diagnostic-0039,时间约束数值题,简单,87.0,37.0,模型计算或推理错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 37
dev_diagnostic-0042,加权聚合,中等,65.294,100.00000000000001,prompt/题目理解风险,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 100.00000000000001
