真实错误画像人工复核表：Qwen2.5-0.5B base diagnostic

样例编号,题目中文说明,原始题目（英文）,任务类型,难度,标准答案,解析出的模型答案,自动初判类型,输出中的数字个数,是否包含等式,请你人工判断,模型原始输出,人工复核结论（你填写）,备注（你填写）
dev_diagnostic-0000,一个指标从 36 开始，随后下降 15%。最终值是多少？,A metric starts at 36 and then has a 15% decrease. What is the final value?,比例变化,简单,30.6,36.0,百分比变化计算错误,7,是,这是真推理错误、parser/格式问题，还是题目理解问题？, 36 - 15% of 36 | = 36 - 0.15 * 36 | = 36,,
dev_diagnostic-0002,"一个加权指标使用这些权重和值：weight 0.571 with value 60, weight 0.429 with value 90。加权聚合值是多少？","A weighted metric uses weight 0.571 with value 60, weight 0.429 with value 90. What is the weighted aggregate?",加权聚合,简单,72.87,150.0,加权公式/聚合方式错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 150.00000000000001,,
dev_diagnostic-0003,从 61 开始，按顺序应用变化 [15、17]。最终值是多少？,"Start from 61 and apply ordered changes [15, 17]. What is the final value?",时间约束数值题,简单,93.0,106.0,时间顺序加减计算错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 106,,
dev_diagnostic-0004,一个指标从 145 开始，随后上升 40%。最终值是多少？,A metric starts at 145 and then has a 40% increase. What is the final value?,比例变化,中等,203.0,193.0,百分比变化计算错误,4,是,这是真推理错误、parser/格式问题，还是题目理解问题？, 145 + 145 * 0.40 = 193.,,
dev_diagnostic-0006,"一个加权指标使用这些权重和值：weight 0.333 with value 66, weight 0.333 with value 28, weight 0.334 with value 36。加权聚合值是多少？","A weighted metric uses weight 0.333 with value 66, weight 0.333 with value 28, weight 0.334 with value 36. What is the weighted aggregate?",加权聚合,中等,43.326,100.0,加权公式/聚合方式错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 100.000,,
dev_diagnostic-0008,一个指标从 154 开始，随后上升 30%。最终值是多少？,A metric starts at 154 and then has a 30% increase. What is the final value?,比例变化,困难,200.2,190.0,百分比变化计算错误,6,是,这是真推理错误、parser/格式问题，还是题目理解问题？, 154 + 154 * 0.30 = 154 + 46.2 = 190.,,
dev_diagnostic-0009,将相关数量 15、8、9、14 相乘，乘积是多少？,"Multiply the related counts 15, 8, 9, 14. What is the product?",乘法关系,困难,15120.0,1260.0,乘法计算错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 1260,,
dev_diagnostic-0010,"一个加权指标使用这些权重和值：weight 0.091 with value 82, weight 0.318 with value 33, weight 0.273 with value 22, weight 0.318 with value 79。加权聚合值是多少？","A weighted metric uses weight 0.091 with value 82, weight 0.318 with value 33, weight 0.273 with value 22, weight 0.318 with value 79. What is the weighted aggregate?",加权聚合,困难,49.084,100.00000000000001,加权公式/聚合方式错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 100.00000000000001,,
dev_diagnostic-0011,"Start from 138 and apply ordered changes [36, 1, -29, 43]. The value cannot go below 20. The value cannot exceed 180. What is the final value?","Start from 138 and apply ordered changes [36, 1, -29, 43]. The value cannot go below 20. The value cannot exceed 180. What is the final value?",时间约束数值题,困难,180.0,181.0,时间顺序加减计算错误,6,是,这是真推理错误、parser/格式问题，还是题目理解问题？, 138 + 36 + 1 - 29 + 43 = 181,,
dev_diagnostic-0012,一个指标从 146 开始，随后上升 15%。最终值是多少？,A metric starts at 146 and then has a 15% increase. What is the final value?,比例变化,简单,167.9,1.0,百分比变化计算错误,7,是,这是真推理错误、parser/格式问题，还是题目理解问题？, 146 + 15% of 146 = 146 + 1.5 * 146 = 1,,
dev_diagnostic-0014,"一个加权指标使用这些权重和值：weight 0.462 with value 62, weight 0.538 with value 38。加权聚合值是多少？","A weighted metric uses weight 0.462 with value 62, weight 0.538 with value 38. What is the weighted aggregate?",加权聚合,简单,49.088,62.00000000000001,加权公式/聚合方式错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 62.00000000000001,,
dev_diagnostic-0015,从 68 开始，按顺序应用变化 [28、14]。最终值是多少？,"Start from 68 and apply ordered changes [28, 14]. What is the final value?",时间约束数值题,简单,110.0,100.0,时间顺序加减计算错误,4,是,这是真推理错误、parser/格式问题，还是题目理解问题？, 68 + 28 + 14 = 100,,
dev_diagnostic-0016,一个指标从 103 开始，随后下降 40%。最终值是多少？,A metric starts at 103 and then has a 40% decrease. What is the final value?,比例变化,中等,61.8,1.0,百分比变化计算错误,7,是,这是真推理错误、parser/格式问题，还是题目理解问题？, 103 - 40% of 103 = 103 - 40% of 103 = 1,,
dev_diagnostic-0017,将相关数量 8、4、3 相乘，乘积是多少？,"Multiply the related counts 8, 4, 3. What is the product?",乘法关系,中等,96.0,120.0,乘法计算错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 120,,
dev_diagnostic-0018,"一个加权指标使用这些权重和值：weight 0.25 with value 39, weight 0.375 with value 57, weight 0.375 with value 81。加权聚合值是多少？","A weighted metric uses weight 0.25 with value 39, weight 0.375 with value 57, weight 0.375 with value 81. What is the weighted aggregate?",加权聚合,中等,61.5,100.00000000000001,加权公式/聚合方式错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 100.00000000000001,,
dev_diagnostic-0020,一个指标从 131 开始，随后上升 15%。最终值是多少？,A metric starts at 131 and then has a 15% increase. What is the final value?,比例变化,困难,150.65,1.0,百分比变化计算错误,7,是,这是真推理错误、parser/格式问题，还是题目理解问题？, 131 + 15% of 131 = 131 + 1.5 * 131 = 1,,
dev_diagnostic-0021,将相关数量 11、14、9、14 相乘，乘积是多少？,"Multiply the related counts 11, 14, 9, 14. What is the product?",乘法关系,困难,19404.0,1236.0,乘法计算错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 1236,,
dev_diagnostic-0022,"一个加权指标使用这些权重和值：weight 0.278 with value 78, weight 0.278 with value 58, weight 0.333 with value 80, weight 0.111 with value 102。加权聚合值是多少？","A weighted metric uses weight 0.278 with value 78, weight 0.278 with value 58, weight 0.333 with value 80, weight 0.111 with value 102. What is the weighted aggregate?",加权聚合,困难,75.77,102.00000000000001,加权公式/聚合方式错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 102.00000000000001,,
dev_diagnostic-0023,"Start from 79 and apply ordered changes [33, 27, 27, 43]. The value cannot go below 50. The value cannot exceed 180. What is the final value?","Start from 79 and apply ordered changes [33, 27, 27, 43]. The value cannot go below 50. The value cannot exceed 180. What is the final value?",时间约束数值题,困难,180.0,100.0,时间顺序加减计算错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 100,,
dev_diagnostic-0024,一个指标从 60 开始，随后下降 20%。最终值是多少？,A metric starts at 60 and then has a 20% decrease. What is the final value?,比例变化,简单,48.0,4.0,parser 尾部残片风险,7,是,这是真推理错误、parser/格式问题，还是题目理解问题？, 60 - 20% of 60 = 60 - 12 = 48 | What is the answer? 4,,
dev_diagnostic-0026,"一个加权指标使用这些权重和值：weight 0.467 with value 29, weight 0.533 with value 50。加权聚合值是多少？","A weighted metric uses weight 0.467 with value 29, weight 0.533 with value 50. What is the weighted aggregate?",加权聚合,简单,40.193,29.000000000000004,加权公式/聚合方式错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 29.000000000000004,,
dev_diagnostic-0027,从 32 开始，按顺序应用变化 [-29、-3]。最终值是多少？,"Start from 32 and apply ordered changes [-29, -3]. What is the final value?",时间约束数值题,简单,0.0,13.0,时间顺序加减计算错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 13,,
dev_diagnostic-0028,一个指标从 75 开始，随后下降 5%。最终值是多少？,A metric starts at 75 and then has a 5% decrease. What is the final value?,比例变化,中等,71.25,3.0,百分比变化计算错误,8,是,这是真推理错误、parser/格式问题，还是题目理解问题？, 75 - 5% of 75 = 75 - 0.05 * 75 = 75 - 3,,
dev_diagnostic-0030,"一个加权指标使用这些权重和值：weight 0.636 with value 30, weight 0.182 with value 55, weight 0.182 with value 90。加权聚合值是多少？","A weighted metric uses weight 0.636 with value 30, weight 0.182 with value 55, weight 0.182 with value 90. What is the weighted aggregate?",加权聚合,中等,45.47,125.00000000000001,加权公式/聚合方式错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 125.00000000000001,,
dev_diagnostic-0031,从 104 开始，按顺序应用变化 [15、-30、-28]。最终值是多少？,"Start from 104 and apply ordered changes [15, -30, -28]. What is the final value?",时间约束数值题,中等,61.0,104.0,时间顺序加减计算错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 104,,
dev_diagnostic-0032,一个指标从 74 开始，随后下降 5%。最终值是多少？,A metric starts at 74 and then has a 5% decrease. What is the final value?,比例变化,困难,70.3,3.0,百分比变化计算错误,8,是,这是真推理错误、parser/格式问题，还是题目理解问题？, 74 - 5% of 74 = 74 - 0.05 * 74 = 74 - 3,,
dev_diagnostic-0033,将相关数量 7、13、17、9 相乘，乘积是多少？,"Multiply the related counts 7, 13, 17, 9. What is the product?",乘法关系,困难,13923.0,1231.0,乘法计算错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 1231,,
dev_diagnostic-0034,"一个加权指标使用这些权重和值：weight 0.043 with value 72, weight 0.174 with value 21, weight 0.391 with value 83, weight 0.392 with value 104。加权聚合值是多少？","A weighted metric uses weight 0.043 with value 72, weight 0.174 with value 21, weight 0.391 with value 83, weight 0.392 with value 104. What is the weighted aggregate?",加权聚合,困难,79.971,104.00000000000001,加权公式/聚合方式错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 104.00000000000001,,
dev_diagnostic-0035,"Start from 97 and apply ordered changes [35, 2, -15, -13]. The value cannot go below 50. The value cannot exceed 220. What is the final value?","Start from 97 and apply ordered changes [35, 2, -15, -13]. The value cannot go below 50. The value cannot exceed 220. What is the final value?",时间约束数值题,困难,106.0,100.0,时间顺序加减计算错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 100,,
dev_diagnostic-0036,一个指标从 179 开始，随后上升 5%。最终值是多少？,A metric starts at 179 and then has a 5% increase. What is the final value?,比例变化,简单,187.95,185.0,百分比变化计算错误,5,是,这是真推理错误、parser/格式问题，还是题目理解问题？, 179 + 179 * 0.05 = 185.5 | The final value is 185.,,
dev_diagnostic-0038,"一个加权指标使用这些权重和值：weight 0.7 with value 23, weight 0.3 with value 90。加权聚合值是多少？","A weighted metric uses weight 0.7 with value 23, weight 0.3 with value 90. What is the weighted aggregate?",加权聚合,简单,43.1,161.1,加权公式/聚合方式错误,5,是,这是真推理错误、parser/格式问题，还是题目理解问题？, 23 * 0.7 + 90 * 0.3 = 161.1,,
dev_diagnostic-0039,从 34 开始，按顺序应用变化 [37、16]。最终值是多少？,"Start from 34 and apply ordered changes [37, 16]. What is the final value?",时间约束数值题,简单,87.0,37.0,时间顺序加减计算错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 37,,
dev_diagnostic-0040,一个指标从 73 开始，随后下降 20%。最终值是多少？,A metric starts at 73 and then has a 20% decrease. What is the final value?,比例变化,中等,58.4,73.0,百分比变化计算错误,7,是,这是真推理错误、parser/格式问题，还是题目理解问题？, 73 - 20% of 73 | = 73 - 0.20 * 73 | = 73,,
dev_diagnostic-0041,将相关数量 13、17、11 相乘，乘积是多少？,"Multiply the related counts 13, 17, 11. What is the product?",乘法关系,中等,2431.0,2002.0,乘法计算错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 2002,,
dev_diagnostic-0043,从 180 开始，按顺序应用变化 [29、0、23]。最终值是多少？,"Start from 180 and apply ordered changes [29, 0, 23]. What is the final value?",时间约束数值题,中等,232.0,180.0,时间顺序加减计算错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 180,,
dev_diagnostic-0045,将相关数量 8、8、13、6 相乘，乘积是多少？,"Multiply the related counts 8, 8, 13, 6. What is the product?",乘法关系,困难,4992.0,544.0,乘法计算错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 544,,
dev_diagnostic-0047,"Start from 72 and apply ordered changes [28, -25, 22, -17]. The value cannot go below 20. The value cannot exceed 180. What is the final value?","Start from 72 and apply ordered changes [28, -25, 22, -17]. The value cannot go below 20. The value cannot exceed 180. What is the final value?",时间约束数值题,困难,80.0,100.0,时间顺序加减计算错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 100,,
dev_diagnostic-0053,将相关数量 13、13、14 相乘，乘积是多少？,"Multiply the related counts 13, 13, 14. What is the product?",乘法关系,中等,2366.0,182.0,乘法计算错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 182,,
dev_diagnostic-0057,将相关数量 7、11、2、5 相乘，乘积是多少？,"Multiply the related counts 7, 11, 2, 5. What is the product?",乘法关系,困难,770.0,385.0,乘法计算错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 385,,
dev_diagnostic-0065,将相关数量 2、9、14 相乘，乘积是多少？,"Multiply the related counts 2, 9, 14. What is the product?",乘法关系,中等,252.0,288.0,乘法计算错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 288,,
dev_diagnostic-0069,将相关数量 10、4、14、18 相乘，乘积是多少？,"Multiply the related counts 10, 4, 14, 18. What is the product?",乘法关系,困难,10080.0,720.0,乘法计算错误,1,否,这是真推理错误、parser/格式问题，还是题目理解问题？, 720,,
