id,prompt,prompt_zh,task_family,difficulty_bucket,answer,parsed_prediction,audit_category,number_token_count,has_equation,human_check_prompt,raw_continuation
dev_diagnostic-0000,A metric starts at 36 and then has a 15% decrease. What is the final value?,一个指标从 36 开始，随后下降 15%。最终值是多少？,ratio_change,easy,30.6,36.0,percent_change_calculation_error,7,True,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 36 - 15% of 36 | = 36 - 0.15 * 36 | = 36
dev_diagnostic-0002,"A weighted metric uses weight 0.571 with value 60, weight 0.429 with value 90. What is the weighted aggregate?","一个加权指标使用这些权重和值：weight 0.571 with value 60, weight 0.429 with value 90。加权聚合值是多少？",weighted_aggregation,easy,72.87,150.0,weighted_formula_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 150.00000000000001
dev_diagnostic-0003,"Start from 61 and apply ordered changes [15, 17]. What is the final value?",从 61 开始，按顺序应用变化 [15、17]。最终值是多少？,temporal_numeric_constraint,easy,93.0,106.0,temporal_calculation_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 106
dev_diagnostic-0004,A metric starts at 145 and then has a 40% increase. What is the final value?,一个指标从 145 开始，随后上升 40%。最终值是多少？,ratio_change,medium,203.0,193.0,percent_change_calculation_error,4,True,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 145 + 145 * 0.40 = 193.
dev_diagnostic-0006,"A weighted metric uses weight 0.333 with value 66, weight 0.333 with value 28, weight 0.334 with value 36. What is the weighted aggregate?","一个加权指标使用这些权重和值：weight 0.333 with value 66, weight 0.333 with value 28, weight 0.334 with value 36。加权聚合值是多少？",weighted_aggregation,medium,43.326,100.0,weighted_formula_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 100.000
dev_diagnostic-0008,A metric starts at 154 and then has a 30% increase. What is the final value?,一个指标从 154 开始，随后上升 30%。最终值是多少？,ratio_change,hard,200.2,190.0,percent_change_calculation_error,6,True,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 154 + 154 * 0.30 = 154 + 46.2 = 190.
dev_diagnostic-0009,"Multiply the related counts 15, 8, 9, 14. What is the product?",将相关数量 15、8、9、14 相乘，乘积是多少？,multiplicative_relation,hard,15120.0,1260.0,multiplication_calculation_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 1260
dev_diagnostic-0010,"A weighted metric uses weight 0.091 with value 82, weight 0.318 with value 33, weight 0.273 with value 22, weight 0.318 with value 79. What is the weighted aggregate?","一个加权指标使用这些权重和值：weight 0.091 with value 82, weight 0.318 with value 33, weight 0.273 with value 22, weight 0.318 with value 79。加权聚合值是多少？",weighted_aggregation,hard,49.084,100.00000000000001,weighted_formula_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 100.00000000000001
dev_diagnostic-0011,"Start from 138 and apply ordered changes [36, 1, -29, 43]. The value cannot go below 20. The value cannot exceed 180. What is the final value?","Start from 138 and apply ordered changes [36, 1, -29, 43]. The value cannot go below 20. The value cannot exceed 180. What is the final value?",temporal_numeric_constraint,hard,180.0,181.0,temporal_calculation_error,6,True,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 138 + 36 + 1 - 29 + 43 = 181
dev_diagnostic-0012,A metric starts at 146 and then has a 15% increase. What is the final value?,一个指标从 146 开始，随后上升 15%。最终值是多少？,ratio_change,easy,167.9,1.0,percent_change_calculation_error,7,True,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 146 + 15% of 146 = 146 + 1.5 * 146 = 1
dev_diagnostic-0014,"A weighted metric uses weight 0.462 with value 62, weight 0.538 with value 38. What is the weighted aggregate?","一个加权指标使用这些权重和值：weight 0.462 with value 62, weight 0.538 with value 38。加权聚合值是多少？",weighted_aggregation,easy,49.088,62.00000000000001,weighted_formula_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 62.00000000000001
dev_diagnostic-0015,"Start from 68 and apply ordered changes [28, 14]. What is the final value?",从 68 开始，按顺序应用变化 [28、14]。最终值是多少？,temporal_numeric_constraint,easy,110.0,100.0,temporal_calculation_error,4,True,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 68 + 28 + 14 = 100
dev_diagnostic-0016,A metric starts at 103 and then has a 40% decrease. What is the final value?,一个指标从 103 开始，随后下降 40%。最终值是多少？,ratio_change,medium,61.8,1.0,percent_change_calculation_error,7,True,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 103 - 40% of 103 = 103 - 40% of 103 = 1
dev_diagnostic-0017,"Multiply the related counts 8, 4, 3. What is the product?",将相关数量 8、4、3 相乘，乘积是多少？,multiplicative_relation,medium,96.0,120.0,multiplication_calculation_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 120
dev_diagnostic-0018,"A weighted metric uses weight 0.25 with value 39, weight 0.375 with value 57, weight 0.375 with value 81. What is the weighted aggregate?","一个加权指标使用这些权重和值：weight 0.25 with value 39, weight 0.375 with value 57, weight 0.375 with value 81。加权聚合值是多少？",weighted_aggregation,medium,61.5,100.00000000000001,weighted_formula_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 100.00000000000001
dev_diagnostic-0020,A metric starts at 131 and then has a 15% increase. What is the final value?,一个指标从 131 开始，随后上升 15%。最终值是多少？,ratio_change,hard,150.65,1.0,percent_change_calculation_error,7,True,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 131 + 15% of 131 = 131 + 1.5 * 131 = 1
dev_diagnostic-0021,"Multiply the related counts 11, 14, 9, 14. What is the product?",将相关数量 11、14、9、14 相乘，乘积是多少？,multiplicative_relation,hard,19404.0,1236.0,multiplication_calculation_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 1236
dev_diagnostic-0022,"A weighted metric uses weight 0.278 with value 78, weight 0.278 with value 58, weight 0.333 with value 80, weight 0.111 with value 102. What is the weighted aggregate?","一个加权指标使用这些权重和值：weight 0.278 with value 78, weight 0.278 with value 58, weight 0.333 with value 80, weight 0.111 with value 102。加权聚合值是多少？",weighted_aggregation,hard,75.77,102.00000000000001,weighted_formula_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 102.00000000000001
dev_diagnostic-0023,"Start from 79 and apply ordered changes [33, 27, 27, 43]. The value cannot go below 50. The value cannot exceed 180. What is the final value?","Start from 79 and apply ordered changes [33, 27, 27, 43]. The value cannot go below 50. The value cannot exceed 180. What is the final value?",temporal_numeric_constraint,hard,180.0,100.0,temporal_calculation_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 100
dev_diagnostic-0024,A metric starts at 60 and then has a 20% decrease. What is the final value?,一个指标从 60 开始，随后下降 20%。最终值是多少？,ratio_change,easy,48.0,4.0,parser_tail_fragment_risk,7,True,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 60 - 20% of 60 = 60 - 12 = 48 | What is the answer? 4
dev_diagnostic-0026,"A weighted metric uses weight 0.467 with value 29, weight 0.533 with value 50. What is the weighted aggregate?","一个加权指标使用这些权重和值：weight 0.467 with value 29, weight 0.533 with value 50。加权聚合值是多少？",weighted_aggregation,easy,40.193,29.000000000000004,weighted_formula_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 29.000000000000004
dev_diagnostic-0027,"Start from 32 and apply ordered changes [-29, -3]. What is the final value?",从 32 开始，按顺序应用变化 [-29、-3]。最终值是多少？,temporal_numeric_constraint,easy,0.0,13.0,temporal_calculation_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 13
dev_diagnostic-0028,A metric starts at 75 and then has a 5% decrease. What is the final value?,一个指标从 75 开始，随后下降 5%。最终值是多少？,ratio_change,medium,71.25,3.0,percent_change_calculation_error,8,True,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 75 - 5% of 75 = 75 - 0.05 * 75 = 75 - 3
dev_diagnostic-0030,"A weighted metric uses weight 0.636 with value 30, weight 0.182 with value 55, weight 0.182 with value 90. What is the weighted aggregate?","一个加权指标使用这些权重和值：weight 0.636 with value 30, weight 0.182 with value 55, weight 0.182 with value 90。加权聚合值是多少？",weighted_aggregation,medium,45.47,125.00000000000001,weighted_formula_error,1,False,请判断这是真推理错误、parser/格式问题，还是题目理解问题。, 125.00000000000001
