candidate_id,task_family,difficulty_bucket,answer_magnitude_bucket,reasoning_length_bucket,main_signal_eligible,main_raw_score,main_residual_score,control_signal_eligible,control_raw_score,control_residual_score,selected_by_main,selected_by_control
candidate_pool-0000,ratio_change,easy,medium,short,True,0.22142857,0.00101411,True,1.02109308,0.85655715,False,True
candidate_pool-0001,multiplicative_relation,easy,medium,short,False,0.0,0.0,False,0.0,0.0,False,False
candidate_pool-0002,weighted_aggregation,easy,small,long,False,0.0,0.0,False,0.0,0.0,False,False
candidate_pool-0003,temporal_numeric_constraint,easy,medium,long,True,-0.19444444,0.03053106,True,-0.91302697,-0.59697285,False,False
candidate_pool-0004,ratio_change,medium,small,medium,True,0.36428571,0.20107937,True,1.8998195,0.83460366,True,False
candidate_pool-0005,multiplicative_relation,medium,medium,medium,False,0.0,0.0,False,0.0,0.0,False,False
candidate_pool-0006,weighted_aggregation,medium,small,long,False,0.0,0.0,False,0.0,0.0,False,False
candidate_pool-0007,temporal_numeric_constraint,medium,small,long,True,-0.12962963,-0.08779461,True,-1.19625121,-1.06921128,False,False
candidate_pool-0008,ratio_change,hard,small,long,True,0.14285714,-0.08003663,True,0.0,-1.02349544,False,False
candidate_pool-0009,multiplicative_relation,hard,large,long,False,0.0,0.0,False,0.0,0.0,True,True
candidate_pool-0010,weighted_aggregation,hard,small,long,False,0.0,0.0,False,0.0,0.0,False,False
candidate_pool-0011,temporal_numeric_constraint,hard,small,long,True,0.42424242,0.02158443,True,7.24844238,-0.12987929,False,False
candidate_pool-0012,ratio_change,easy,small,short,True,0.04184704,-0.11727092,True,0.66059867,-0.26682774,False,False
candidate_pool-0013,multiplicative_relation,easy,small,short,False,0.0,0.0,False,0.0,0.0,False,False
candidate_pool-0014,weighted_aggregation,easy,small,long,False,0.0,0.0,False,0.0,0.0,False,False
candidate_pool-0015,temporal_numeric_constraint,easy,medium,long,True,-0.42592593,-0.20095042,True,-0.18391433,0.13213978,False,True
candidate_pool-0016,ratio_change,medium,medium,medium,True,0.39285714,0.10323402,True,0.96851387,0.31814125,True,False
candidate_pool-0017,multiplicative_relation,medium,medium,medium,False,0.0,0.0,False,0.0,0.0,True,True
candidate_pool-0018,weighted_aggregation,medium,small,long,False,0.0,0.0,False,0.0,0.0,False,False
candidate_pool-0019,temporal_numeric_constraint,medium,small,long,True,0.00942761,0.05126263,True,-0.18391433,-0.0568744,True,False
